registry_id,category,calculator_class,parameter_mode,core_valid_placement,bundle_current_support,heldout_or_cv_effect,inference_row_effect,engine_optional_dependency,existing_relevant_test,concrete_missing_integration,h3_local_verification
DropMissingColumns,Cleaning,DropMissingColumnsCalculator,threshold absent/nonpositive; explicit columns,ordinary preprocessing; fixed and learned modes retain Core semantics,ordinary yes; pre-split rejected,fixed drop on heldout,same rows; schema changes,pandas + Polars; base deps,skyulf-core/tests/unit/test_preprocessing_nodes.py,Intentional phase boundary: not admitted before split; use existing ordinary recipe,Prior matrix07 node-specific fixture rerun: pandas/Polars fit-save-load-predict passed; not every listed mode
DropMissingColumns,Cleaning,DropMissingColumnsCalculator,positive missing_threshold,post-split/fold-local learned,ordinary yes; pre-split rejected,fitted drop list reused,same rows,pandas + Polars; base deps,skyulf-core/tests/unit/test_preprocessing_nodes.py,learned mode stays after split,Prior matrix07 node-specific fixture rerun: pandas/Polars fit-save-load-predict passed; not every listed mode
DropMissingRows,Cleaning,DropMissingRowsCalculator,explicit subset; how/threshold/missing_threshold,pre-split training eligibility; post-split train-only,pre-split H2 yes; ordinary train-only,H2 filters before split; ordinary transform skips,skipped; prediction rows preserved,pandas + Polars; base deps,skyulf-core/tests/integrations/test_databricks_pre_split_filters.py::test_drop_missing_uses_core_threshold_precedence_and_clears_missing_targets,Explicit pre-split filter modes and fixed normalization chains verified; ordinary prediction filters remain conditional on preserving rows,"See cited existing Core tests; no new full Bundle execution claimed for this mode; test_databricks_pre_split_filters.py: ordered fixed cleanup and filter chains passed both engines; H3 serverless run848857785722024 passed both engines for the exact mixed recipe in rehearsal.py (not every listed mode), including saved custom approval and240+3/no-op scoring"
DummyEncoder,Preprocessing,DummyEncoderCalculator,standard mode; see Core params,post-split/fold-local learned,ordinary recipe; prior matrix reports local fit/save/load,fitted artifact heldout,same rows; fitted state replayed,pandas + Polars; base deps,skyulf-core/tests/integration/test_encoding_dummy.py,"Intentional ordinary phase; exact fixture/Core evidence cited, exhaustive mixed recipes and every parameter mode not claimed",Prior matrix07 node-specific fixture rerun: pandas/Polars fit-save-load-predict passed; not every listed mode
EllipticEnvelope,Preprocessing,EllipticEnvelopeCalculator,fitted outlier detection; [] may no-op,post-split/fold-local train filtering,ordinary conditional; pre-split rejected,may filter heldout rows,prediction rejects row count change,pandas + Polars; base deps,skyulf-core/tests/integration/test_outliers_elliptic_winsorize_zscore_iqr.py,define heldout policy and mixed recipe proof,See cited existing Core tests; no new full Bundle execution claimed for this mode
FeatureGeneration,Feature Engineering,FeatureGenerationCalculator,arithmetic/ratio/similarity/datetime_extract,post-split ordinary; pre-split needs generated-column contract,ordinary yes; pre-split rejected,row-local operation heldout,same rows,pandas + Polars; base deps,skyulf-core/tests/integration/test_preprocessing_behavioral_reaudit.py::test_fixed_features_replay_independently_of_companion_rows,Intentional phase boundary: generated columns stay in ordinary preprocessing; no pre-split derived-column contract,Prior matrix07 node-specific fixture rerun: pandas/Polars fit-save-load-predict passed; not every listed mode
FeatureGeneration,Feature Engineering,FeatureGenerationCalculator,group aggregate or automatic discovery,post-split/fold-local,ordinary yes; pre-split rejected,training group stats reused,same rows,pandas + Polars; base deps,skyulf-core/tests/integration/test_preprocessing_behavioral_reaudit.py::test_fixed_features_replay_independently_of_companion_rows,keep aggregate mode after split,Prior matrix07 node-specific fixture rerun: pandas/Polars fit-save-load-predict passed; not every listed mode
FeatureGenerationNode,Feature Engineering,FeatureGenerationCalculator,arithmetic/ratio/similarity/datetime_extract,post-split ordinary; pre-split needs generated-column contract,ordinary yes; pre-split rejected,row-local operation heldout,same rows,pandas + Polars; base deps,skyulf-core/tests/integration/test_preprocessing_behavioral_reaudit.py::test_fixed_features_replay_independently_of_companion_rows,Intentional phase boundary: generated columns stay in ordinary preprocessing; no pre-split derived-column contract,Prior matrix07 node-specific fixture rerun: pandas/Polars fit-save-load-predict passed; not every listed mode
FeatureGenerationNode,Feature Engineering,FeatureGenerationCalculator,group aggregate or automatic discovery,post-split/fold-local,ordinary yes; pre-split rejected,training group stats reused,same rows,pandas + Polars; base deps,skyulf-core/tests/integration/test_preprocessing_behavioral_reaudit.py::test_fixed_features_replay_independently_of_companion_rows,keep aggregate mode after split,Prior matrix07 node-specific fixture rerun: pandas/Polars fit-save-load-predict passed; not every listed mode
FeatureInteraction,Feature Engineering,FeatureInteractionCalculator,standard mode; see Core params,post-split ordinary fixed,ordinary recipe; prior matrix reports local fit/save/load,fixed operation heldout,same rows; fitted state replayed,pandas + Polars; base deps,skyulf-core/tests/integration/test_preprocessing_behavioral_reaudit.py::test_fixed_features_replay_independently_of_companion_rows,"Intentional ordinary phase; exact fixture/Core evidence cited, exhaustive mixed recipes and every parameter mode not claimed",test_databricks_local_five_models.py rerun passed: see exact node parameters and engine in CASES; no claim of every mode on both engines
FeatureMath,Feature Engineering,FeatureGenerationCalculator,arithmetic/ratio/similarity/datetime_extract,post-split ordinary; pre-split needs generated-column contract,ordinary yes; pre-split rejected,row-local operation heldout,same rows,pandas + Polars; base deps,skyulf-core/tests/integration/test_preprocessing_behavioral_reaudit.py::test_fixed_features_replay_independently_of_companion_rows,Intentional phase boundary: generated columns stay in ordinary preprocessing; no pre-split derived-column contract,Prior matrix07 node-specific fixture rerun: pandas/Polars fit-save-load-predict passed; not every listed mode
FeatureMath,Feature Engineering,FeatureGenerationCalculator,group aggregate or automatic discovery,post-split/fold-local,ordinary yes; pre-split rejected,training group stats reused,same rows,pandas + Polars; base deps,skyulf-core/tests/integration/test_preprocessing_behavioral_reaudit.py::test_fixed_features_replay_independently_of_companion_rows,keep aggregate mode after split,Prior matrix07 node-specific fixture rerun: pandas/Polars fit-save-load-predict passed; not every listed mode
GeneralBinning,Preprocessing,GeneralBinningCalculator,standard mode; see Core params,post-split/fold-local learned,ordinary recipe; prior matrix reports local fit/save/load,fitted artifact heldout,same rows; fitted state replayed,pandas + Polars; base deps,skyulf-core/tests/integration/test_bucketing.py,"Intentional ordinary phase; exact fixture/Core evidence cited, exhaustive mixed recipes and every parameter mode not claimed",Prior matrix07 node-specific fixture rerun: pandas/Polars fit-save-load-predict passed; not every listed mode
GeneralTransformation,Preprocessing,GeneralTransformationCalculator,only fixed mathematical operations,post-split ordinary; pre-split needs generated-column contract,ordinary yes; pre-split rejected,fixed formula heldout,same rows,pandas + Polars; base deps,skyulf-core/tests/unit/test_preprocessing_nodes.py,Intentional phase boundary: generated columns stay in ordinary preprocessing; no pre-split derived-column contract,Prior matrix07 node-specific fixture rerun: pandas/Polars fit-save-load-predict passed; not every listed mode
GeneralTransformation,Preprocessing,GeneralTransformationCalculator,statistics-dependent operation,post-split/fold-local,ordinary yes; pre-split rejected,fitted stats reused,same rows,pandas + Polars; base deps,skyulf-core/tests/unit/test_preprocessing_nodes.py,keep learned mode after split,Prior matrix07 node-specific fixture rerun: pandas/Polars fit-save-load-predict passed; not every listed mode
GeoDistance,Feature Engineering,GeoDistanceCalculator,explicit coordinate columns/method/unit,post-split ordinary fixed,nonempty local Python recipe fit/artifact/holdout/CV verified on both engines,same distance heldout,same rows,pandas + Polars; base deps,skyulf-core/tests/integration/test_geo_nodes.py,Per-node fresh-process MLflow and H3 serverless execution not separately run; shared source-loader tests provide transport evidence,Prior matrix07 node-specific fixture rerun: pandas/Polars fit-save-load-predict passed; not every listed mode; test_databricks_node_phase_recipes.py: nonempty recipe fit-save-load-predict-heldout passed both engines; CV also passed except temporal recipes; other modes retain separate Core evidence
H3Index,Feature Engineering,H3IndexCalculator,explicit numeric lat/lon; resolution,post-split ordinary fixed,ordinary Core config; Bundle artifact unverified,same H3 heldout,same rows,pandas + Polars; optional h3,skyulf-core/tests/integration/test_geo_nodes.py::test_polars_engine_parity,optional geo and fresh-process Bundle recipe unverified,OPEN optional dependency/model packaging lane; no new successful Bundle execution claimed
HashEncoder,Preprocessing,HashEncoderCalculator,explicit columns and fixed operation,post-split ordinary; pre-split needs generated-column contract,ordinary yes; pre-split rejected,same fixed feature operation heldout,same rows,pandas + Polars; base deps,skyulf-core/tests/integration/test_encoding_hash.py,Intentional phase boundary: generated columns stay in ordinary preprocessing; no pre-split derived-column contract,Prior matrix07 node-specific fixture rerun: pandas/Polars fit-save-load-predict passed; not every listed mode
HashEncoder,Preprocessing,HashEncoderCalculator,auto/omitted column selection,post-split/fold-local learned selection,ordinary yes; pre-split rejected,training selection frozen,same rows,pandas + Polars; base deps,skyulf-core/tests/integration/test_encoding_hash.py,keep auto mode after split,Prior matrix07 node-specific fixture rerun: pandas/Polars fit-save-load-predict passed; not every listed mode
IQR,Preprocessing,IQRCalculator,fitted outlier detection; [] may no-op,post-split/fold-local train filtering,ordinary conditional; pre-split rejected,may filter heldout rows,prediction rejects row count change,pandas + Polars; base deps,skyulf-core/tests/integration/test_outliers_elliptic_winsorize_zscore_iqr.py,define heldout policy and mixed recipe proof,See cited existing Core tests; no new full Bundle execution claimed for this mode
InvalidValueReplacement,Cleaning,InvalidValueReplacementCalculator,fixed explicit columns and replacement/operation,validated fixed pre-split normalization or ordinary preprocessing,explicit fixed modes admitted; raw feature prefix saved; target-only normalization separated,same fixed operation on heldout,same rows; selected feature normalization applied once to raw inputs; no target required,pandas + Polars; base deps,skyulf-core/tests/integration/test_cleaning_invalid_value.py::test_fit_then_apply_matches_direct_params,Narrow pre-split parameter contract only; other Core presets remain ordinary-only; numeric mapping object keys rejected with replacement-pairs alternative,"Prior matrix07 node-specific fixture rerun: pandas/Polars fit-save-load-predict passed; not every listed mode; test_databricks_pre_split_filters.py: 66 focused tests incl both engines, raw replay, normalized-target split, protected values, JSON collisions and target semantic guard"
IterativeImputer,Preprocessing,IterativeImputerCalculator,standard mode; see Core params,post-split/fold-local learned,ordinary recipe; prior matrix reports local fit/save/load,fitted artifact heldout,same rows; fitted state replayed,pandas + Polars; base deps,skyulf-core/tests/integration/test_imputation_common_knn_iterative_simple.py,"Intentional ordinary phase; exact fixture/Core evidence cited, exhaustive mixed recipes and every parameter mode not claimed",Prior matrix07 node-specific fixture rerun: pandas/Polars fit-save-load-predict passed; not every listed mode
KBinsDiscretizer,Preprocessing,KBinsDiscretizerCalculator,standard mode; see Core params,post-split/fold-local learned,ordinary recipe; prior matrix reports local fit/save/load,fitted artifact heldout,same rows; fitted state replayed,pandas + Polars; base deps,skyulf-core/tests/integration/test_bucketing.py,"Intentional ordinary phase; exact fixture/Core evidence cited, exhaustive mixed recipes and every parameter mode not claimed",Prior matrix07 node-specific fixture rerun: pandas/Polars fit-save-load-predict passed; not every listed mode
KNNImputer,Preprocessing,KNNImputerCalculator,standard mode; see Core params,post-split/fold-local learned,ordinary recipe; prior matrix reports local fit/save/load,fitted artifact heldout,same rows; fitted state replayed,pandas + Polars; base deps,skyulf-core/tests/integration/test_imputation_common_knn_iterative_simple.py,"Intentional ordinary phase; exact fixture/Core evidence cited, exhaustive mixed recipes and every parameter mode not claimed",test_databricks_local_five_models.py rerun passed: see exact node parameters and engine in CASES; no claim of every mode on both engines
LabelEncoder,Preprocessing,LabelEncoderCalculator,target-only/default label or [] no-op,target handling at split boundary; ordinary,ordinary target-aware; pre-split rejected,labels on heldout must share training coding,target absent at inference,pandas + Polars; base deps,skyulf-core/tests/integration/test_encoding_label.py,target label semantics/compatibility contract missing,Prior matrix07 node-specific fixture rerun: pandas/Polars fit-save-load-predict passed; not every listed mode
LabelEncoder,Preprocessing,LabelEncoderCalculator,feature columns or auto selection,post-split/fold-local,ordinary yes; pre-split rejected,fitted categories reused,same rows; unknowns use artifact,pandas + Polars; base deps,skyulf-core/tests/integration/test_encoding_label.py,real Bundle recipe per mode missing,Prior matrix07 node-specific fixture rerun: pandas/Polars fit-save-load-predict passed; not every listed mode
LagFeatures,Preprocessing,LagFeaturesCalculator,explicit columns; supplied history; no reorder/drop,post-split temporal ordinary,ordered supplied-history local artifact recipe verified; prediction rejects row reorder/drop,partition-local history only,same rows; values depend on batch history,pandas + Polars; base deps,skyulf-core/tests/integration/test_preprocessing_behavioral_reaudit.py::test_temporal_nodes_keep_target_alignment_and_split_history_separate,OPEN SM-36a historical context retrieval and temporal CV policy; no future/current-target history or general live single-row history support,test_databricks_node_phase_recipes.py: nonempty recipe fit-save-load-predict-heldout passed both engines; CV also passed except temporal recipes; other modes retain separate Core evidence
LagFeatures,Preprocessing,LagFeaturesCalculator,sort_by reorders; lag drop_na=true; current-target rolling,post-split only with guards; current-target rolling invalid,ordered supplied-history local artifact recipe verified; prediction rejects row reorder/drop,may reorder/drop X/y; target rolling rejected,prediction rejects row drop/reorder,pandas + Polars; base deps,skyulf-core/tests/integration/test_preprocessing_behavioral_reaudit.py::test_temporal_nodes_keep_target_alignment_and_split_history_separate,OPEN SM-36a historical context retrieval and temporal CV policy; no future/current-target history or general live single-row history support,test_databricks_node_phase_recipes.py: nonempty recipe fit-save-load-predict-heldout passed both engines; CV also passed except temporal recipes; other modes retain separate Core evidence
ManualBounds,Preprocessing,ManualBoundsCalculator,explicit finite numeric bounds,pre-split training eligibility; post-split conditional,pre-split H2 yes; ordinary conditional,H2 filters before split; ordinary may filter heldout,prediction rejects changed row count,pandas + Polars; base deps,skyulf-core/tests/integrations/test_databricks_pre_split_filters.py::test_candidate_training_filters_before_split_and_model_fit,Explicit pre-split filter modes and fixed normalization chains verified; ordinary prediction filters remain conditional on preserving rows,"See cited existing Core tests; no new full Bundle execution claimed for this mode; test_databricks_pre_split_filters.py: ordered fixed cleanup and filter chains passed both engines; H3 serverless run848857785722024 passed both engines for the exact mixed recipe in rehearsal.py (not every listed mode), including saved custom approval and240+3/no-op scoring"
MaxAbsScaler,Preprocessing,MaxAbsScalerCalculator,standard mode; see Core params,post-split/fold-local learned,ordinary recipe; prior matrix reports local fit/save/load,fitted artifact heldout,same rows; fitted state replayed,pandas + Polars; base deps,skyulf-core/tests/unit/test_cleaning_operation_leakage.py::test_scaler_statistics_and_auto_columns_come_only_from_train,"Intentional ordinary phase; exact fixture/Core evidence cited, exhaustive mixed recipes and every parameter mode not claimed",Prior matrix07 node-specific fixture rerun: pandas/Polars fit-save-load-predict passed; not every listed mode
MinMaxScaler,Preprocessing,MinMaxScalerCalculator,standard mode; see Core params,post-split/fold-local learned,ordinary recipe; prior matrix reports local fit/save/load,fitted artifact heldout,same rows; fitted state replayed,pandas + Polars; base deps,skyulf-core/tests/unit/test_cleaning_operation_leakage.py::test_scaler_statistics_and_auto_columns_come_only_from_train,"Intentional ordinary phase; exact fixture/Core evidence cited, exhaustive mixed recipes and every parameter mode not claimed",Prior matrix07 node-specific fixture rerun: pandas/Polars fit-save-load-predict passed; not every listed mode
MissingIndicator,Feature Engineering,MissingIndicatorCalculator,explicit columns and fixed operation,post-split ordinary; pre-split needs generated-column contract,ordinary yes; pre-split rejected,same fixed feature operation heldout,same rows,pandas + Polars; base deps,skyulf-core/tests/unit/test_preprocessing_nodes.py,Intentional phase boundary: generated columns stay in ordinary preprocessing; no pre-split derived-column contract,Prior matrix07 node-specific fixture rerun: pandas/Polars fit-save-load-predict passed; not every listed mode
MissingIndicator,Feature Engineering,MissingIndicatorCalculator,auto/omitted column selection,post-split/fold-local learned selection,ordinary yes; pre-split rejected,training selection frozen,same rows,pandas + Polars; base deps,skyulf-core/tests/unit/test_preprocessing_nodes.py,keep auto mode after split,Prior matrix07 node-specific fixture rerun: pandas/Polars fit-save-load-predict passed; not every listed mode
ModelBasedSelection,Feature Selection,ModelBasedSelectionCalculator,standard mode; see Core params,post-split/fold-local learned,ordinary recipe; prior matrix reports local fit/save/load,fitted artifact heldout,same rows; fitted state replayed,pandas + Polars; base deps,skyulf-core/tests/integration/test_feature_selection_common.py,"Intentional ordinary phase; exact fixture/Core evidence cited, exhaustive mixed recipes and every parameter mode not claimed",Prior matrix07 node-specific fixture rerun: pandas/Polars fit-save-load-predict passed; not every listed mode
OneHotEncoder,Preprocessing,OneHotEncoderCalculator,standard mode; see Core params,post-split/fold-local learned,ordinary recipe; prior matrix reports local fit/save/load,fitted artifact heldout,same rows; fitted state replayed,pandas + Polars; base deps,skyulf-core/tests/integration/test_encoding_one_hot.py,"Intentional ordinary phase; exact fixture/Core evidence cited, exhaustive mixed recipes and every parameter mode not claimed",test_databricks_local_five_models.py rerun passed: see exact node parameters and engine in CASES; no claim of every mode on both engines
OrdinalEncoder,Preprocessing,OrdinalEncoderCalculator,target-only/default label or [] no-op,target handling at split boundary; ordinary,ordinary target-aware; pre-split rejected,labels on heldout must share training coding,target absent at inference,pandas + Polars; base deps,skyulf-core/tests/integration/test_encoding_ordinal.py,target label semantics/compatibility contract missing,test_databricks_local_five_models.py rerun passed: see exact node parameters and engine in CASES; no claim of every mode on both engines
OrdinalEncoder,Preprocessing,OrdinalEncoderCalculator,feature columns or auto selection,post-split/fold-local,ordinary yes; pre-split rejected,fitted categories reused,same rows; unknowns use artifact,pandas + Polars; base deps,skyulf-core/tests/integration/test_encoding_ordinal.py,real Bundle recipe per mode missing,test_databricks_local_five_models.py rerun passed: see exact node parameters and engine in CASES; no claim of every mode on both engines
Oversampling,Preprocessing,OversamplingCalculator,configured method; numeric X and y,post-split train/fold only,ordinary train/fold only; pre-split rejected,never resample heldout; refit each fold,skipped; preserves prediction rows,pandas + Polars; optional imbalanced-learn,skyulf-core/tests/integration/test_preprocessing_behavioral_reaudit.py::test_linear_engineer_resamples_train_only_and_skips_inference,"Random method full local recipe/CV verified; other sampling methods retain cited Core tests, not new full Bundle execution",test_databricks_node_phase_recipes.py: nonempty recipe fit-save-load-predict-heldout passed both engines; CV also passed except temporal recipes; other modes retain separate Core evidence
PolynomialFeatures,Feature Engineering,PolynomialFeaturesCalculator,explicit columns or auto_detect=false,post-split ordinary,ordinary yes; pre-split rejected,same polynomial terms heldout,same rows,pandas + Polars; base deps,skyulf-core/tests/integration/test_preprocessing_behavioral_reaudit.py::test_fixed_features_replay_independently_of_companion_rows,pre-split generated-column contract absent,Prior matrix07 node-specific fixture rerun: pandas/Polars fit-save-load-predict passed; not every listed mode
PolynomialFeatures,Feature Engineering,PolynomialFeaturesCalculator,auto_detect=true without explicit columns,post-split/fold-local,ordinary yes; pre-split rejected,training selection reused,same rows,pandas + Polars; base deps,skyulf-core/tests/integration/test_preprocessing_behavioral_reaudit.py::test_fixed_features_replay_independently_of_companion_rows,keep auto mode after split,Prior matrix07 node-specific fixture rerun: pandas/Polars fit-save-load-predict passed; not every listed mode
PolynomialFeaturesNode,Feature Engineering,PolynomialFeaturesCalculator,explicit columns or auto_detect=false,post-split ordinary,ordinary yes; pre-split rejected,same polynomial terms heldout,same rows,pandas + Polars; base deps,skyulf-core/tests/integration/test_preprocessing_behavioral_reaudit.py::test_fixed_features_replay_independently_of_companion_rows,pre-split generated-column contract absent,Prior matrix07 node-specific fixture rerun: pandas/Polars fit-save-load-predict passed; not every listed mode
PolynomialFeaturesNode,Feature Engineering,PolynomialFeaturesCalculator,auto_detect=true without explicit columns,post-split/fold-local,ordinary yes; pre-split rejected,training selection reused,same rows,pandas + Polars; base deps,skyulf-core/tests/integration/test_preprocessing_behavioral_reaudit.py::test_fixed_features_replay_independently_of_companion_rows,keep auto mode after split,Prior matrix07 node-specific fixture rerun: pandas/Polars fit-save-load-predict passed; not every listed mode
PowerTransformer,Preprocessing,PowerTransformerCalculator,standard mode; see Core params,post-split/fold-local learned,ordinary recipe; prior matrix reports local fit/save/load,fitted artifact heldout,same rows; fitted state replayed,pandas + Polars; base deps,skyulf-core/tests/unit/test_preprocessing_nodes.py,"Intentional ordinary phase; exact fixture/Core evidence cited, exhaustive mixed recipes and every parameter mode not claimed",test_databricks_local_five_models.py rerun passed: see exact node parameters and engine in CASES; no claim of every mode on both engines
RobustScaler,Preprocessing,RobustScalerCalculator,standard mode; see Core params,post-split/fold-local learned,ordinary recipe; prior matrix reports local fit/save/load,fitted artifact heldout,same rows; fitted state replayed,pandas + Polars; base deps,skyulf-core/tests/unit/test_cleaning_operation_leakage.py::test_scaler_statistics_and_auto_columns_come_only_from_train,"Intentional ordinary phase; exact fixture/Core evidence cited, exhaustive mixed recipes and every parameter mode not claimed",test_databricks_local_five_models.py rerun passed: see exact node parameters and engine in CASES; no claim of every mode on both engines
RollingAggregate,Preprocessing,RollingAggregateCalculator,explicit columns; supplied history; no reorder/drop,post-split temporal ordinary,ordered supplied-history local artifact recipe verified; prediction rejects row reorder/drop,partition-local history only,same rows; values depend on batch history,pandas + Polars; base deps,skyulf-core/tests/integration/test_preprocessing_behavioral_reaudit.py::test_temporal_nodes_keep_target_alignment_and_split_history_separate,OPEN SM-36a historical context retrieval and temporal CV policy; no future/current-target history or general live single-row history support,test_databricks_node_phase_recipes.py: nonempty recipe fit-save-load-predict-heldout passed both engines; CV also passed except temporal recipes; other modes retain separate Core evidence
RollingAggregate,Preprocessing,RollingAggregateCalculator,sort_by reorders; lag drop_na=true; current-target rolling,post-split only with guards; current-target rolling invalid,ordered supplied-history local artifact recipe verified; prediction rejects row reorder/drop,may reorder/drop X/y; target rolling rejected,prediction rejects row drop/reorder,pandas + Polars; base deps,skyulf-core/tests/integration/test_preprocessing_behavioral_reaudit.py::test_temporal_nodes_keep_target_alignment_and_split_history_separate,OPEN SM-36a historical context retrieval and temporal CV policy; no future/current-target history or general live single-row history support,test_databricks_node_phase_recipes.py: nonempty recipe fit-save-load-predict-heldout passed both engines; CV also passed except temporal recipes; other modes retain separate Core evidence
SimpleImputer,Preprocessing,SimpleImputerCalculator,constant strategy; explicit columns,ordinary preprocessing; fixed and learned modes retain Core semantics,ordinary yes; pre-split rejected,fixed fill heldout,same rows,pandas + Polars; base deps,skyulf-core/tests/integration/test_imputation_common_knn_iterative_simple.py,Intentional phase boundary: not admitted before split; use existing ordinary recipe,"test_databricks_local_five_models.py rerun passed: see exact node parameters and engine in CASES; no claim of every mode on both engines; H3 serverless run848857785722024 passed both engines for the exact mixed recipe in rehearsal.py (not every listed mode), including saved custom approval and240+3/no-op scoring"
